"Industry","Ticker","Exchange","Stock Name","URL","Link"
"basicmaterials","OCDO.L","london","Ocado Group PLC","https://www.etoro.com/markets/OCDO.L","Link"
"basicmaterials","OCI.NV","amsterdam","OCI NV","https://www.etoro.com/markets/OCI.NV","Link"
"basicmaterials","OERL.ZU","zurich","OC Oerlikon Corporation AG","https://www.etoro.com/markets/OERL.ZU","Link"
"basicmaterials","OLN","nyse","Olin Corp","https://www.etoro.com/markets/OLN","Link"
"basicmaterials","OUT1V.HE","helsinki","Outokumpu Oyj","https://www.etoro.com/markets/OUT1V.HE","Link"
"basicmaterials","OVV","nyse","Ovintiv Inc","https://www.etoro.com/markets/OVV","Link"
"basicmaterials","OXY","nyse","Occidental Petroleum Corp","https://www.etoro.com/markets/OXY","Link"
"basicmaterials","PAAS","nasdaq","Pan American Silver Corp","https://www.etoro.com/markets/PAAS","Link"
"basicmaterials","PAGP","nasdaq","Plains GP Holdings LP","https://www.etoro.com/markets/PAGP","Link"
"basicmaterials","PBF","nyse","PBF Energy Inc","https://www.etoro.com/markets/PBF","Link"
"basicmaterials","PBR","nyse","Petroleo Brasileiro SA Petrobras","https://www.etoro.com/markets/PBR","Link"
"basicmaterials","PBR.A","nyse","Petroleo Brasileiro ADR","https://www.etoro.com/markets/PBR.A","Link"
"basicmaterials","PFC.L","london","Petrofac","https://www.etoro.com/markets/PFC.L","Link"
"basicmaterials","PGS.OL","oslo","Petroleum Geo-Services","https://www.etoro.com/markets/PGS.OL","Link"
"basicmaterials","PKX","nyse","Posco - ADR","https://www.etoro.com/markets/PKX","Link"
"basicmaterials","PPG","nyse","PPG Industries Inc","https://www.etoro.com/markets/PPG","Link"
"basicmaterials","PRS.OL","oslo","Prosafe","https://www.etoro.com/markets/PRS.OL","Link"
"basicmaterials","PTR","nyse","PetroChina Company Limited","https://www.etoro.com/markets/PTR","Link"
"basicmaterials","PXD","nyse","Pioneer Natural Resources Company","https://www.etoro.com/markets/PXD","Link"
"basicmaterials","RAA.DE","frankfurt","Rational AG","https://www.etoro.com/markets/RAA.DE","Link"
"basicmaterials","RCP.L","london","RIT Capital Partners PLC","https://www.etoro.com/markets/RCP.L","Link"
"basicmaterials","RGLD","nasdaq","Royal Gold Inc.","https://www.etoro.com/markets/RGLD","Link"
"basicmaterials","RHIM.L","london","RHI Magnesita","https://www.etoro.com/markets/RHIM.L","Link"
"basicmaterials","RIG","nyse","Transocean LTD","https://www.etoro.com/markets/RIG","Link"
"basicmaterials","RIO","nyse","Rio Tinto PLC ADR","https://www.etoro.com/markets/RIO","Link"
"basicmaterials","RIO.L","london","Rio Tinto","https://www.etoro.com/markets/RIO.L","Link"
